country,region,year,planeDeaths
Mauritania,Africa,1971,0
Mauritius,Africa,1971,0
Mexico,Americas,1971,0
Mongolia,Asia,1971,0
Morocco,Africa,1971,0
Mozambique,Africa,1971,0
Myanmar,Asia,1971,0
Nepal,Asia,1971,0
Netherlands,Europe,1971,0
New Zealand,Asia,1971,0
Nicaragua,Americas,1971,0
Niger,Africa,1971,0
Nigeria,Africa,1971,0
North Korea,Asia,1971,0
Norway,Europe,1971,0
Pakistan,Asia,1971,0
Panama,Americas,1971,0
Papua New Guinea,Asia,1971,0
Paraguay,Americas,1971,0
Peru,Americas,1971,0
Philippines,Asia,1971,0
Poland,Europe,1971,0
Portugal,Europe,1971,0
Romania,Europe,1971,0
Russia,Europe,1971,0
Saudi Arabia,Asia,1971,0
Senegal,Africa,1971,0
Sierra Leone,Africa,1971,0
Somalia,Africa,1971,0
South Africa,Africa,1971,0
South Korea,Asia,1971,0
Spain,Europe,1971,0
Sri Lanka,Asia,1971,0
Sudan,Africa,1971,0
Suriname,Americas,1971,0
Sweden,Europe,1971,0
Switzerland,Europe,1971,0
Tajikistan,Asia,1971,0
Tanzania,Africa,1971,0
Thailand,Asia,1971,0
Tunisia,Africa,1971,0
Turkey,Europe,1971,0
Ukraine,Europe,1971,0
United Arab Emirates,Asia,1971,0
United Kingdom,Europe,1971,0
United States,Americas,1971,0
Uruguay,Americas,1971,8
Uzbekistan,Asia,1971,0
Venezuela,Americas,1971,0
Vietnam,Asia,1971,0
Yemen,Asia,1971,0
Zambia,Africa,1971,0
Afghanistan,Asia,1972,0
Algeria,Africa,1972,0
Angola,Africa,1972,0
Argentina,Americas,1972,0
Armenia,Europe,1972,0
Australia,Asia,1972,0
Austria,Europe,1972,0
Azerbaijan,Europe,1972,0
Bahrain,Asia,1972,0
Belgium,Europe,1972,0
Benin,Africa,1972,0
Bolivia,Americas,1972,0
Bosnia and Herzegovina,Europe,1972,0
Brazil,Americas,1972,0
Bulgaria,Europe,1972,0
Cambodia,Asia,1972,0
Cameroon,Africa,1972,0
Canada,Americas,1972,0
Cape Verde,Africa,1972,0
Central African Republic,Africa,1972,0
Chile,Americas,1972,0
China,Asia,1972,0
Colombia,Americas,1972,0
Comoros,Africa,1972,0
"Congo, Dem. Rep.",Africa,1972,0
"Congo, Rep.",Africa,1972,0
Costa Rica,Americas,1972,0
Cote d'Ivoire,Africa,1972,0
Croatia,Europe,1972,0
Cuba,Americas,1972,0
Denmark,Europe,1972,0
Dominica,Americas,1972,0
Dominican Republic,Americas,1972,0
Ecuador,Americas,1972,0
Egypt,Africa,1972,0
El Salvador,Americas,1972,0
Equatorial Guinea,Africa,1972,0
Ethiopia,Africa,1972,0
Fiji,Asia,1972,0
France,Europe,1972,60
Gabon,Africa,1972,0
Georgia,Europe,1972,0
Germany,Europe,1972,0
Greece,Europe,1972,0
Guatemala,Americas,1972,0
Haiti,Americas,1972,0
Honduras,Americas,1972,0
Hungary,Europe,1972,0
India,Asia,1972,0
Indonesia,Asia,1972,0
Iran,Asia,1972,0
Iraq,Asia,1972,0
Ireland,Europe,1972,0
Israel,Asia,1972,0
Italy,Europe,1972,0
Japan,Asia,1972,0
Jordan,Asia,1972,0
Kazakhstan,Asia,1972,0
Kenya,Africa,1972,0
Kyrgyz Republic,Asia,1972,0
Lao,Asia,1972,0
Libya,Africa,1972,0
Luxembourg,Europe,1972,0
